genero;nome;endereco;cidade;estado;email;Username;Password;TelephoneNumber;MothersMaiden;Birthday;CCType;CCNumber;CVV2;CCExpires;NationalID
F;Marina Fernandes;Rua Serra Bau 1823;Goiânia;GO;MarinaPereiraFernandes@gustr.com;Crad1966;Gou5noot8ae;(62) 2663-3472;Azevedo;07/10/1966;MasterCard;5,54E+15;734;nov/20;768.799.661-52
F;Melissa Souza;Praça Machado de Assis 531;Aparecida de Goiânia;GO;MelissaSousaSouza@dayrep.com;Unation;WahshiP0iequ;(62) 9209-3720;Rocha;01/04/1978;MasterCard;5,47E+15;756;abr/19;102.545.374-30
M;Kaua Oliveira;Rua Professor Fenelon Pinheiro Câmara 1808;João Pessoa;PB;KauaSouzaOliveira@teleworm.us;Stine1937;Oduotoh5ei;(83) 7739-7577;Pereira;05/12/1937;MasterCard;5,59E+15;967;mai/18;634.387.608-19
M;Daniel Barros;Rua Frei Henrique de Coimbra 78;Cascavel;PR;DanielMartinsBarros@dayrep.com;Hisheight;Powahl5mah;(45) 6264-2599;Almeida;09/08/1994;Visa;4,49E+15;711;jul/22;532.613.746-16
F;Gabriela Melo;Rua Benedito Camilo dos Santos 381;Guaratinguetá;SP;GabrielaCardosoMelo@teleworm.us;Troms1995;Aic2zaedoh;(12) 4019-8595;Rocha;07/09/1995;Visa;4,49E+15;544;jan/20;422.244.345-02
F;Rebeca Cunha;Rua JM - 010 1202;Brusque;SC;RebecaRibeiroCunha@einrot.com;Thenting;Saiphaiy1oo;(47) 5695-6549;Pinto;4/19/1962;MasterCard;5,11E+15;30;mar/18;769.093.609-15
F;Luiza Cunha;Rua Lauro Corona 490;Cariacica;ES;LuizaRodriguesCunha@fleckens.hu;Arecow;Ooh3ein6bae;(27) 4697-3333;Sousa;5/27/1995;MasterCard;5,15E+15;942;fev/19;871.360.251-92
F;Beatriz Pereira;Rua Benedito Murollo 383;Itatiba;SP;BeatrizLimaPereira@einrot.com;Lowitood;meeShoh2Ide;(11) 3222-7299;Gomes;3/14/1954;MasterCard;5,43E+15;673;jun/22;629.323.323-92
M;Alex Gomes;Avenida Três 55;Betim;MG;AlexRibeiroGomes@fleckens.hu;Legreasing;quooTh8oo;(31) 2269-2552;Pereira;01/05/1993;MasterCard;5,17E+15;437;nov/20;205.368.240-02
M;Rafael Pinto;Avenida Rezende 922;Goiânia;GO;RafaelLimaPinto@dayrep.com;Pooks1990;AeBaPh0ei;(62) 4813-3024;Sousa;8/24/1990;Visa;4,54E+15;571;out/19;783.374.395-05
M;Bruno Rocha;Rua São Tiago 1057;Japeri;RJ;BrunoMartinsRocha@jourrapide.com;Forrawford;nooDieg1;(21) 8235-5214;Silva;7/13/1964;MasterCard;5,45E+15;276;nov/18;763.648.831-09
F;Leonor Melo;Rua Capitão João Gonçalves da Luz 717;Olinda;PE;LeonorSousaMelo@superrito.com;Hiltat;fuphe3Quofim;(81) 3640-6615;Sousa;10/24/1964;MasterCard;5,48E+15;261;dez/22;487.005.471-07
M;Caio Correia;Rua Itambaracás 1011;Cambé;PR;CaioAraujoCorreia@cuvox.de;Theine;eiquu6ooM9ie;(43) 6283-2487;Azevedo;10/20/1956;Visa;4,72E+15;158;abr/20;154.484.214-74
M;Otávio Alves;Rua do Carvalho 1493;Campo Grande;MS;OtavioCunhaAlves@dayrep.com;Horer1950;aeTe0odie;(67) 7456-5766;Ribeiro;11/16/1950;Visa;4,92E+15;414;out/22;666.183.467-62
M;Breno Pinto;Avenida dos Andradas 53;Belo Horizonte;MG;BrenoOliveiraPinto@fleckens.hu;Esombeed;Bie4efahzei;(31) 3100-2537;Lima;04/10/1939;MasterCard;5,56E+15;776;jun/18;590.347.768-24
M;Diogo Cardoso;Rua Filomena Ana Rita 246;Franca;SP;DiogoSouzaCardoso@dayrep.com;Theards;phoo0Ohy9Ei;(16) 5323-4594;Ferreira;1/21/1975;MasterCard;5,21E+15;5;mar/19;233.805.397-40
M;Danilo Lima;Rua Estreita do Rosário 1148;Olinda;PE;DaniloFerreiraLima@cuvox.de;Strapead;Feingiev9;(81) 4477-7070;Correia;04/09/1978;Visa;4,56E+15;277;abr/18;405.777.926-44
M;Rodrigo Santos;2ª Travessa Joel de Holanda Cavalcante 991;Arcoverde;PE;RodrigoCostaSantos@superrito.com;Sinexpond;Aeh6nix3ee;(87) 5412-3174;Araujo;12/30/1975;Visa;4,49E+15;881;mai/22;184.911.978-34
F;Nicole Carvalho;Travessa Marieta 1534;Santo André;SP;NicoleAlmeidaCarvalho@jourrapide.com;Froddly;eCahk5Toh;(11) 6389-9541;Silva;11/03/1959;Visa;4,54E+15;298;mai/19;442.097.070-74
F;Lara Barbosa;Rua Ângelo Longobardi 1693;Bragança Paulista;SP;LaraCarvalhoBarbosa@einrot.com;Lading;thu9saeB;(11) 8176-4048;Silva;03/06/1977;Visa;4,92E+15;447;ago/18;642.160.933-37
